year,final_theme,count
2000,Amanita poisoning and amatoxin intoxication,12
2000,Amatoxin-induced hepatotoxicity and liver failure,13
2000,Clinical poisoning management and supportive care,12
2000,"Epidemiology, outbreaks, and surveillance",1
2000,Other mushroom-poisoning research themes,7
2001,AI-assisted mushroom identification and computational classification,1
2001,Amanita poisoning and amatoxin intoxication,8
2001,Amatoxin-induced hepatotoxicity and liver failure,12
2001,Clinical poisoning management and supportive care,2
2001,Other mushroom-poisoning research themes,10
2001,Renal and extrahepatic toxicity,2
2001,Therapeutic strategies and antidotal interventions,2
2002,Amanita poisoning and amatoxin intoxication,8
2002,Amatoxin-induced hepatotoxicity and liver failure,16
2002,Clinical poisoning management and supportive care,6
2002,"Epidemiology, outbreaks, and surveillance",2
2002,Other mushroom-poisoning research themes,8
2002,Poisonous mushroom identification and taxonomy,1
2002,Renal and extrahepatic toxicity,4
2002,Therapeutic strategies and antidotal interventions,1
2003,Amanita poisoning and amatoxin intoxication,13
2003,Amatoxin-induced hepatotoxicity and liver failure,13
2003,Clinical poisoning management and supportive care,9
2003,"Epidemiology, outbreaks, and surveillance",2
2003,Other mushroom-poisoning research themes,5
2003,Renal and extrahepatic toxicity,2
2003,Therapeutic strategies and antidotal interventions,1
2004,Amanita poisoning and amatoxin intoxication,14
2004,Amatoxin-induced hepatotoxicity and liver failure,4
2004,Clinical poisoning management and supportive care,7
2004,Other mushroom-poisoning research themes,6
2004,Renal and extrahepatic toxicity,1
2004,Therapeutic strategies and antidotal interventions,1
2005,Amanita poisoning and amatoxin intoxication,12
2005,Amatoxin-induced hepatotoxicity and liver failure,10
2005,Clinical poisoning management and supportive care,5
2005,"Epidemiology, outbreaks, and surveillance",1
2005,Other mushroom-poisoning research themes,19
2005,Poisonous mushroom identification and taxonomy,2
2006,Amanita poisoning and amatoxin intoxication,18
2006,Amatoxin-induced hepatotoxicity and liver failure,17
2006,Clinical poisoning management and supportive care,6
2006,Other mushroom-poisoning research themes,15
2006,Renal and extrahepatic toxicity,4
