year,AI-assisted mushroom identification and computational classification,Amanita poisoning and amatoxin intoxication,Amatoxin-induced hepatotoxicity and liver failure,Clinical poisoning management and supportive care,"Epidemiology, outbreaks, and surveillance",Other mushroom-poisoning research themes,Poisonous mushroom identification and taxonomy,Renal and extrahepatic toxicity,Therapeutic strategies and antidotal interventions
2000,0.0,12.0,13.0,12.0,1.0,7.0,0.0,0.0,0.0
2001,1.0,8.0,12.0,2.0,0.0,10.0,0.0,2.0,2.0
2002,0.0,8.0,16.0,6.0,2.0,8.0,1.0,4.0,1.0
2003,0.0,13.0,13.0,9.0,2.0,5.0,0.0,2.0,1.0
2004,0.0,14.0,4.0,7.0,0.0,6.0,0.0,1.0,1.0
2005,0.0,12.0,10.0,5.0,1.0,19.0,2.0,0.0,0.0
2006,0.0,18.0,17.0,6.0,0.0,15.0,0.0,4.0,2.0
2007,0.0,11.0,18.0,6.0,1.0,11.0,1.0,1.0,2.0
2008,0.0,18.0,12.0,5.0,1.0,10.0,1.0,2.0,1.0
2009,0.0,13.0,16.0,4.0,6.0,13.0,0.0,6.0,0.0
2010,0.0,20.0,17.0,5.0,1.0,13.0,2.0,3.0,1.0
2011,0.0,23.0,9.0,6.0,3.0,10.0,1.0,5.0,2.0
2012,0.0,18.0,13.0,9.0,2.0,16.0,2.0,6.0,2.0
2013,1.0,15.0,15.0,12.0,5.0,24.0,1.0,1.0,3.0
2014,0.0,19.0,17.0,6.0,2.0,21.0,1.0,1.0,0.0
2015,1.0,29.0,11.0,4.0,0.0,17.0,1.0,3.0,2.0
2016,0.0,17.0,10.0,10.0,2.0,21.0,3.0,3.0,2.0
2017,0.0,20.0,18.0,5.0,2.0,15.0,2.0,1.0,0.0
2018,2.0,20.0,17.0,7.0,7.0,23.0,2.0,0.0,1.0
2019,5.0,16.0,13.0,6.0,3.0,22.0,3.0,2.0,0.0
2020,2.0,32.0,15.0,7.0,5.0,18.0,11.0,1.0,0.0
2021,5.0,32.0,20.0,3.0,8.0,23.0,14.0,1.0,0.0
2022,13.0,24.0,18.0,9.0,11.0,34.0,11.0,2.0,2.0
2023,11.0,31.0,24.0,4.0,10.0,26.0,7.0,4.0,1.0
2024,12.0,36.0,22.0,6.0,17.0,36.0,9.0,0.0,0.0
2025,15.0,26.0,25.0,9.0,16.0,36.0,6.0,1.0,0.0
