topic_id,top_words,representative_doc_rank,representative_text,expert_label,include_exclude,comment
0,"poisoning, acute, in, exchange, patients, plasmapheresis, care, hypoglycemia, of, clinical",1,"The use of therapeutic plasmapheresis in the treatment of poisoned and snake bite victims: an academic emergency department's experiences.. The objective of this study is to describe the clinical status, procedural interventions, and outcomes of critically ill patients with poisoning and snake bite injuries presenting to a tertiary-care emergency department for treatment with therapeutic plasmapheresis. Records of 20 patients who presented to our academic emergency department over a 2-year period and who underwent plasmapheresis for poisoning or snake bite were retrospectively reviewed. Plasma",General acute toxicology / mixed poisoning,EXCLUDE,Dominated by non-mushroom poisoning and supportive-care literature; mushroom poisoning is not the central semantic focus.
0,"poisoning, acute, in, exchange, patients, plasmapheresis, care, hypoglycemia, of, clinical",2,"Toxic-induced hypoglycemia in clinical practice.. Toxic induced hypoglycemia is usually caused by the anti-diabetic treatment and excessive alcohol consume. Hypoglycemia in diabetics treated with insulin or anti-diabetic oral agents is far the most studied form of hypoglycemia. Less information is available on toxic-induced hypoglycemia in non-diabetic subjects with acute exogenous poisoning. We retrospectively studied adult non-diabetic patients admitted in Emergency Clinic Hospital of Iaşi with hypoglycemia caused by an acute poisoning, over a period of 10 years. Then we performed a prospect",General acute toxicology / mixed poisoning,EXCLUDE,Dominated by non-mushroom poisoning and supportive-care literature; mushroom poisoning is not the central semantic focus.
0,"poisoning, acute, in, exchange, patients, plasmapheresis, care, hypoglycemia, of, clinical",3,"Renal replacement therapy in acute poisonings--one center experience.. The authors described three groups of patients after acute poisonings. In the first group were 60 patients after carbon tetrachioride poisoning, the second group consisted of 81 patients after mushroom poisoning and 20 patients after ethylene glycol poisoning were in the third group. Besides two patients with rare poisonings after potassium dichromate and after paraquat poisoning were analysed. All groups of patients with the kidney damage were presented from the diagnostic, differential diagnostic, conservative, ntra- and ",General acute toxicology / mixed poisoning,EXCLUDE,Dominated by non-mushroom poisoning and supportive-care literature; mushroom poisoning is not the central semantic focus.
1,"embryos, cell, stage, embryonic, oocytes, development, the, in, during, bovine",1,"Expression of 3 beta-hydroxysteroid dehydrogenase in early bovine embryo development.. We analyzed the presence of 3 beta-Hydroxysteroid Dehydrogenase/Delta(5-->4)-isomerase enzyme (3 beta-HSD) activity, a key enzyme of the steroid metabolic pathway, the mRNA of this enzyme, and the steroid metabolism in in vitro produced bovine embryos. 3 beta-HSD activity was detected in in vitro matured oocytes (74.4 +/- 1.4%), 1-cell (72.9 +/- 6.1%), 2-cell (61.8 +/- 7.4%), 8-cell (50 +/- 5%), morulae (50.8 +/- 2.6%), blastocysts (94.4 +/- 3%), and hatched blastocysts (100 +/- 0%) meanwhile the 4-cell stag",Bovine embryonic development / unrelated developmental biology,EXCLUDE,"Unrelated to mushroom poisoning or toxicology; representative papers focus on bovine oocytes, embryos, and genome activation."
1,"embryos, cell, stage, embryonic, oocytes, development, the, in, during, bovine",2,"Dynamics of global transcriptome in bovine matured oocytes and preimplantation embryos.. Global activation of the embryonic genome is the most critical event in early mammalian development. After fertilization, a rich supply of maternal proteins and RNAs support development whereas a number of zygotic and embryonic genes are expressed in a stage-specific manner leading to embryonic genome activation (EGA). However, the identities of embryonic genes expressed and the mechanism(s) of EGA are poorly defined in the bovine. Using the Affymetrix bovine-specific DNA microarray as the biggest availabl",Bovine embryonic development / unrelated developmental biology,EXCLUDE,"Unrelated to mushroom poisoning or toxicology; representative papers focus on bovine oocytes, embryos, and genome activation."
1,"embryos, cell, stage, embryonic, oocytes, development, the, in, during, bovine",3,"Genome activation in bovine embryos: review of the literature and new insights from RNA sequencing experiments.. Maternal-to-embryonic transition (MET) is the period in early embryonic development when maternal RNAs and proteins stored in the oocyte are gradually degraded and transcription of the embryonic genome is activated. First insights into the timing of embryonic genome activation (EGA) came from autoradiographic analyses of embryos following incorporation of [(3)H]uridine. These studies identified the eight- to 16-cell stage of bovine embryos as the period of major EGA, but detected fi",Bovine embryonic development / unrelated developmental biology,EXCLUDE,"Unrelated to mushroom poisoning or toxicology; representative papers focus on bovine oocytes, embryos, and genome activation."
2,"amanita, phalloides, poisoning, intoxication, muscaria, caused, failure, renal, agaric, fly",1,Poisonings with Amanita phalloides. .,Amanita phalloides poisoning and clinical management,INCLUDE,Highly coherent mushroom-specific cluster centered on Amanita phalloides intoxication and management.
2,"amanita, phalloides, poisoning, intoxication, muscaria, caused, failure, renal, agaric, fly",2,Management of poisoning with Amanita phalloides. .,Amanita phalloides poisoning and clinical management,INCLUDE,Highly coherent mushroom-specific cluster centered on Amanita phalloides intoxication and management.
2,"amanita, phalloides, poisoning, intoxication, muscaria, caused, failure, renal, agaric, fly",3,Amanita phalloides poisoning. .,Amanita phalloides poisoning and clinical management,INCLUDE,Highly coherent mushroom-specific cluster centered on Amanita phalloides intoxication and management.
3,"amatoxin, amanita, poisoning, patients, failure, liver, mushroom, ingestion, with, acute",1,"Clinical characteristics and outcome of toxicity from Amanita mushroom poisoning.. To describe and analyze the clinical characteristics and outcome of amatoxin poisoning cases. We performed a retrospective cohort study of amatoxin poisoning cases from Ramathibodi Poison Center Toxic Exposure Surveillance System, from May 2013 to August 2015. There were 30 consultations with a total of 55 poisoning cases. Most cases were male and from the north-east region. Hepatitis, acute kidney injury, jaundice, and coagulopathy accounted for 74%, 46.3%, 44.7%, and 52.8% of the cases, respectively. Almost al",Amatoxin-induced hepatotoxicity and clinical management,INCLUDE,"Core mushroom-toxicology cluster focused on amatoxin poisoning, acute liver failure, diagnosis, and treatment including NAC."
